CustomerID,Country,Recency,Frequency,Monetary,AOV,NumItems,NumProducts,Tenure,AvgInterpurchase,R_score,F_score,M_score,RFM_Segment,KMeans_Cluster,Cluster_Label,Churn_real,Churn_prob,Churn_pred,Status_Risc
12346,United Kingdom,142,3,77352.96,25784.32,74239,25,463,154.3,3,3,5,Loyal Customers,1,VIP,1,0.5539,1,Medium Risk
12347,Iceland,63,4,3146.75,786.69,1945,90,220,55.0,4,3,5,Loyal Customers,3,High-Value,0,0.137,0,Low Risk
12348,Finland,65,4,1388.3999999999999,347.1,2488,24,254,63.5,4,3,4,Loyal Customers,3,High-Value,0,0.2143,0,Low Risk
12349,Italy,224,2,2221.14,1110.57,991,89,405,202.5,2,2,4,Hibernating / Lost,3,High-Value,0,0.3912,0,Medium Risk
12350,Norway,126,1,294.4,294.4,196,16,126,126.0,3,1,2,Potential Loyalist,0,Occasional,1,0.6355,1,Medium Risk
12351,Unspecified,191,1,300.93,300.93,261,21,191,191.0,3,1,2,Potential Loyalist,0,Occasional,1,0.793,1,High Risk
12352,Norway,78,6,985.3100000000001,164.22,437,36,209,34.8,4,4,3,Champions,3,High-Value,0,0.5196,1,Medium Risk
12353,Bahrain,20,2,406.76,203.38,212,23,225,112.5,5,2,2,New Customers,0,Occasional,1,0.6657,1,High Risk
12354,Spain,48,1,1079.4,1079.4,530,58,48,48.0,4,1,3,New Customers,0,Occasional,1,0.3885,0,Medium Risk
12355,Bahrain,30,2,947.61,473.8,543,35,384,192.0,4,2,3,New Customers,3,High-Value,1,0.6449,1,Medium Risk
12356,Portugal,62,5,5555.33,1111.07,3372,103,241,48.2,4,4,5,Champions,3,High-Value,0,0.0836,0,Low Risk
12357,Switzerland,205,1,11229.99,11229.99,3878,164,205,205.0,2,1,5,Hibernating / Lost,3,High-Value,0,0.4593,0,Medium Risk
12358,Austria,192,3,2519.01,839.67,826,51,548,182.7,3,3,5,Loyal Customers,3,High-Value,0,0.5489,1,Medium Risk
12359,Cyprus,6,9,6059.09,673.23,2095,230,550,61.1,5,5,5,Champions,1,VIP,0,0.0923,0,Low Risk
12360,Austria,17,4,2234.41,558.6,1717,107,472,118.0,5,3,4,Loyal Customers,3,High-Value,0,0.1448,0,Low Risk
12361,Belgium,103,4,451.25,112.81,231,17,498,124.5,3,3,2,Loyal Customers,3,High-Value,1,0.4635,0,Medium Risk
12362,Belgium,42,2,884.34,442.17,498,51,112,56.0,4,2,3,New Customers,3,High-Value,0,0.2786,0,Low Risk
12363,Unspecified,58,1,299.1,299.1,282,16,58,58.0,4,1,2,New Customers,0,Occasional,0,0.4642,0,Medium Risk
12365,Cyprus,107,1,320.69,320.69,173,21,107,107.0,3,1,2,Potential Loyalist,0,Occasional,1,0.6136,1,Medium Risk
12366,Cyprus,450,1,500.24,500.24,296,3,450,450.0,1,1,2,Hibernating / Lost,2,Mid-Value,1,0.7532,1,High Risk
12368,Cyprus,444,1,917.6999999999999,917.7,330,18,444,444.0,1,1,3,Hibernating / Lost,2,Mid-Value,1,0.8994,1,High Risk
12369,Austria,229,3,1511.15,503.72,1234,89,458,152.7,2,3,4,At Risk,3,High-Value,1,0.476,0,Medium Risk
12370,Cyprus,91,6,3221.03,536.84,2216,149,485,80.8,3,4,5,Loyal Customers,3,High-Value,0,0.2097,0,Low Risk
12371,Switzerland,225,3,1819.42,606.47,836,90,461,153.7,2,3,4,At Risk,3,High-Value,0,0.5825,1,Medium Risk
12372,Denmark,29,2,842.9200000000001,421.46,588,31,113,56.5,4,2,3,New Customers,3,High-Value,0,0.283,0,Low Risk
12373,Austria,127,3,927.6500000000001,309.22,511,35,490,163.3,3,3,3,Loyal Customers,3,High-Value,1,0.635,1,Medium Risk
12374,Austria,238,2,2046.29,1023.14,1015,46,404,202.0,2,2,4,Hibernating / Lost,3,High-Value,0,0.4146,0,Medium Risk
12376,Switzerland,206,2,383.15,191.58,237,10,234,117.0,2,2,2,Hibernating / Lost,0,Occasional,1,0.7829,1,High Risk
12377,Switzerland,131,4,3266.32,816.58,2101,128,405,101.2,3,3,5,Loyal Customers,3,High-Value,1,0.2961,0,Low Risk
12378,Switzerland,378,1,1407.7,1407.7,787,82,378,378.0,1,1,4,Hibernating / Lost,2,Mid-Value,0,0.764,1,High Risk
12379,Belgium,238,2,692.98,346.49,403,36,351,175.5,2,2,3,Hibernating / Lost,0,Occasional,0,0.5466,1,Medium Risk
12380,Belgium,2,5,5345.39,1069.08,2494,123,479,95.8,5,4,5,Champions,3,High-Value,0,0.2594,0,Low Risk
12383,Belgium,1,5,1628.56,325.71,1518,83,168,33.6,5,4,4,Champions,3,High-Value,1,0.0759,0,Low Risk
12385,Belgium,195,1,1668.4,1668.4,594,64,195,195.0,3,1,4,Potential Loyalist,0,Occasional,1,0.6558,1,Medium Risk
12386,Australia,154,2,660.8,330.4,568,10,183,91.5,3,2,3,Potential Loyalist,0,Occasional,1,0.4786,0,Medium Risk
12387,Australia,231,1,143.94,143.94,134,9,231,231.0,2,1,1,Hibernating / Lost,0,Occasional,1,0.6961,1,High Risk
12388,Australia,91,5,1886.7,377.34,870,52,398,79.6,3,4,4,Loyal Customers,3,High-Value,0,0.2416,0,Low Risk
12389,Australia,219,3,1433.33,477.78,614,41,472,157.3,2,3,4,At Risk,3,High-Value,1,0.5344,1,Medium Risk
12391,Cyprus,281,5,2312.53,462.51,920,159,479,95.8,1,4,4,At Risk,3,High-Value,0,0.5898,1,Medium Risk
12392,Australia,407,1,234.75000000000003,234.75,73,7,407,407.0,1,1,1,Hibernating / Lost,2,Mid-Value,1,0.9536,1,High Risk
12393,Australia,62,5,1877.95,375.59,1017,53,244,48.8,4,4,4,Champions,3,High-Value,0,0.1374,0,Low Risk
